Pharokka_phi6A_CDS_0001	Pharokka_phiMA004_CDS_0001	99.791	479	1011
Pharokka_phi6A_CDS_0001	Pharokka_phiMA002_CDS_0001	99.791	479	1011
Pharokka_phi6A_CDS_0001	Pharokka_phiMA001_CDS_0001	99.791	479	1011
Pharokka_phi6A_CDS_0001	Pharokka_PV_12_CDS_0001	99.791	479	1011
Pharokka_phi6A_CDS_0001	Pharokka_phi7A_CDS_0001	99.791	479	1011
Pharokka_phi6A_CDS_0001	Pharokka_PV_7BP_CDS_0001	100.000	479	1010
Pharokka_phi6A_CDS_0001	Pharokka_phi6A_CDS_0001	100.000	479	1010
Pharokka_phi6A_CDS_0001	Pharokka_phi11_CDS_0001	99.582	479	1009
Pharokka_phi6A_CDS_0002	Pharokka_phi6A_CDS_0002	100.000	220	454
Pharokka_phi6A_CDS_0002	Pharokka_PV_7BP_CDS_0002	99.545	220	452
Pharokka_phi6A_CDS_0002	Pharokka_phiMA004_CDS_0002	97.273	220	445
Pharokka_phi6A_CDS_0002	Pharokka_phiMA002_CDS_0002	97.273	220	445
Pharokka_phi6A_CDS_0002	Pharokka_phiMA001_CDS_0002	97.273	220	445
Pharokka_phi6A_CDS_0002	Pharokka_phi11_CDS_0002	97.706	218	442
Pharokka_phi6A_CDS_0002	Pharokka_phi7A_CDS_0002	96.774	217	437
Pharokka_phi6A_CDS_0002	Pharokka_PV_12_CDS_0002	95.909	220	437
Pharokka_phi6A_CDS_0003	Pharokka_PV_7BP_CDS_0003	100.000	608	1256
Pharokka_phi6A_CDS_0003	Pharokka_phi6A_CDS_0003	100.000	608	1256
Pharokka_phi6A_CDS_0003	Pharokka_phi7A_CDS_0003	98.684	608	1244
Pharokka_phi6A_CDS_0003	Pharokka_PV_12_CDS_0003	99.497	596	1229
Pharokka_phi6A_CDS_0003	Pharokka_phi11_CDS_0003	99.329	596	1229
Pharokka_phi6A_CDS_0003	Pharokka_phiMA004_CDS_0003	98.490	596	1218
Pharokka_phi6A_CDS_0003	Pharokka_phiMA002_CDS_0003	98.490	596	1218
Pharokka_phi6A_CDS_0003	Pharokka_phiMA001_CDS_0003	98.490	596	1218
Pharokka_phi6A_CDS_0004	Pharokka_PV_7BP_CDS_0004	100.000	139	287
Pharokka_phi6A_CDS_0004	Pharokka_phi6A_CDS_0004	100.000	139	287
Pharokka_phi6A_CDS_0004	Pharokka_phi11_CDS_0004	97.842	139	282
Pharokka_phi6A_CDS_0004	Pharokka_phiMA004_CDS_0004	97.842	139	281
Pharokka_phi6A_CDS_0004	Pharokka_phiMA002_CDS_0004	97.842	139	281
Pharokka_phi6A_CDS_0004	Pharokka_phiMA001_CDS_0004	97.842	139	281
Pharokka_phi6A_CDS_0004	Pharokka_phi7A_CDS_0004	97.122	139	280
Pharokka_phi6A_CDS_0004	Pharokka_PV_12_CDS_0004	95.683	139	276
Pharokka_phi6A_CDS_0005	Pharokka_PV_7BP_CDS_0005	100.000	317	632
Pharokka_phi6A_CDS_0005	Pharokka_phi6A_CDS_0005	100.000	317	632
Pharokka_phi6A_CDS_0005	Pharokka_phi7A_CDS_0005	98.738	317	625
Pharokka_phi6A_CDS_0005	Pharokka_phi11_CDS_0005	98.738	317	625
Pharokka_phi6A_CDS_0005	Pharokka_phiMA004_CDS_0005	98.423	317	624
Pharokka_phi6A_CDS_0005	Pharokka_phiMA002_CDS_0005	98.423	317	624
Pharokka_phi6A_CDS_0005	Pharokka_phiMA001_CDS_0005	98.423	317	624
Pharokka_phi6A_CDS_0005	Pharokka_PV_12_CDS_0005	98.107	317	622
Pharokka_phi6A_CDS_0006	Pharokka_PV_7BP_CDS_0006	100.000	371	766
Pharokka_phi6A_CDS_0006	Pharokka_phi6A_CDS_0006	100.000	371	766
Pharokka_phi6A_CDS_0006	Pharokka_phi11_CDS_0006	99.730	371	764
